black	#000000
icy life	#5FFFD7
frozen turquoise	#5FFFFF
digital	#626262
Blue Violet	#6456B7
dark ash	#6C6C6C
Turquoise Blue	#6CDAE7
Raw Umber	#714B23
Fern	#71BC78
PrintHue Cool Gray 9	#75787B
steel wool	#767676
Sky Blue	#76D7EA
Asparagus	#7BA428
PrintHue Aqua Sky	#7BC4C4
PrintHue Warm Gray 9	#7C6C5D
maroon	#800000
ultraberry	#800080
verde tropa	#808000
grey	#808080
Violet	#8359A3
Shadow	#837050
dark red	#870000
grapest	#87005F
purple	#870087
shiffurple	#8700AF
violet ink	#8700D7
star platinum purple	#8700FF
ground earth	#875F00
tarsier	#875F5F
candy violet	#875F87
knight elf	#875FAF
amethyst	#875FD7
irrigo purple	#875FFF
heart gold	#878700
bandicoot	#87875F
jumbo	#878787
skysail blue	#8787AF
adora	#8787D7
orchid	#8787FF
grasping grass	#87AF00
celuce	#87AF5F
peapod	#87AF87
hydrology	#87AFAF
reform	#87AFD7
fly away	#87AFFF
overgrown	#87D700
vivid spring	#87D75F
de york	#87D787
jovial jade	#87D7AF
vic 20 sky	#87D7D7
clear sky	#87D7FF
lasting lime	#87FF00
stadium lawn	#87FF5F
easter green	#87FF87
foam green	#87FFAF
roller derby	#87FFD7
electric blue	#87FFFF
PrintHue Greenery	#88B04B
Burnt Umber	#8A3324
argent	#8A8A8A
Gray	#8B8680
Plum	#8E3179
PrintHue True Red	#8F1D21
PrintHue Serenity	#92A8D1
Cornflower	#93CCEA
nickel	#949494
PrintHue Marsala	#955251
Aquamarine	#95E0E8
PrintHue Cool Gray 7	#97999B
PrintHue Warm Gray 7	#998B78
PrintHue Chili Pepper	#9B1B30
Granny Smith Apple	#9DE093
Sepia	#9E5B40
waiting	#9E9E9E
PrintHue Lime	#9FCB43
Sea Green	#9FE2BF
nosferatu	#A8A8A8
Cadet Blue	#A9B2C3
red door	#AF0000
violet red	#AF005F
katy berry	#AF0087
kinky koala	#AF00AF
foxy fuchsia	#AF00D7
bright violet	#AF00FF
Brown	#AF593E
umber	#AF5F00
sienna red	#AF5F5F
cure all	#AF5F87
pearly purple	#AF5FAF
rich lilac	#AF5FD7
vega violet	#AF5FFF
chestnut gold	#AF8700
clay ochre	#AF875F
woodrose	#AF8787
fashionably plum	#AF87AF
pale purple	#AF87D7
liliac	#AF87FF
yew	#AFAF00
palm	#AFAF5F
underhive ash	#AFAF87
tin foil	#AFAFAF
lavender wash	#AFAFD7
shy moment	#AFAFFF
high grass	#AFD700
badass grass	#AFD75F
wasabi	#AFD787
coral springs	#AFD7AF
light continental waters	#AFD7D7
droplet	#AFD7FF
lime candy pearl	#AFFF00
stinging wasabi	#AFFF5F
light yellowish green	#AFFF87
light mint	#AFFFAF
pale turquoise	#AFFFD7
affen turquoise	#AFFFFF
PrintHue Cool Gray 5	#B1B3B3
silverstone	#B2B2B2
Dark Venetian Red	#B33B24
PrintHue Purple Haze	#B565A7
Olive Green	#B5B35C
PrintHue Warm Gray 5	#B7B09C
Indian Red	#B94E48
PrintHue Purple	#BB29BB
Red Violet	#BB3385
gravel fint	#BCBCBC
silver	#C0C0C0
Fuchsia	#C154C1
Maroon	#C32148
Periwinkle	#C5C5DD
Yellow Green	#C5E384
Brick Red	#C62D42
silver polish	#C6C6C6
Antique Brass	#C88A65
Wisteria	#C9A0DC
Mahogany	#CA3435
Madder Lake	#CC3336
English Vermilion	#CC474B
PrintHue Burnt Orange	#CC5500
Venetian Red	#CC553D
PrintHue Rubine Red	#CE0058
american silver	#D0D0D0
PrintHue Cool Gray 3	#D1D3D4
PrintHue Pink	#D2386C
Raw Sienna	#D68A59
Purple Mountains Majesty	#D6AEDD
hot fever	#D70000
anger	#D7005F
mexican pink	#D70087
purple pirate	#D700AF
awkward purple	#D700D7
phlox	#D700FF
tenné	#D75F00
deep sea coral	#D75F5F
groovy	#D75F87
orion	#D75FAF
fuchsia flash	#D75FD7
pink fever	#D75FFF
harvest eve gold	#D78700
copper tan	#D7875F
copperfield	#D78787
middle purple	#D787AF
purception	#D787D7
crash pink	#D787FF
chinese gold	#D7AF00
sell gold	#D7AF5F
buttery leather	#D7AF87
mary rose	#D7AFAF
bff	#D7AFD7
mauve	#D7AFFF
PrintHue Warm Gray 3	#D7D2C4
golden gun	#D7D700
species	#D7D75F
golden delicious	#D7D787
dull sage	#D7D7AF
silver medal	#D7D7D7
contrail	#D7D7FF
lime zest	#D7FF00
ultra moss	#D7FF5F
sunny lime	#D7FF87
lime mist	#D7FFAF
mint zest	#D7FFD7
ice	#D7FFFF
Maximum Red	#D92121
PrintHue Honeysuckle	#D94F70
Tan	#D99A6C
Timberwolf	#D9D6CF
Copper	#DA8A67
silver setting	#DADADA
Tumbleweed	#DE9E6B
PrintHue Sand Dollar	#DFCFBE
PrintHue Rhodamine Red	#E10098
Permanent Geranium Lake	#E12C2C
Orchid	#E29CD2
Raspberry	#E30B5C
grey whisper	#E4E4E4
PrintHue Hot Pink	#E56DB1
Middle Red	#E58E73
Light Venetian Red	#E6735C
Gold	#E6BE8A
Mango Tango	#E77200
Burnt Sienna	#E97451
Spring Green	#ECEBBD
Red	#ED0A3F
Desert Sand	#EDD19C
super silver	#EEEEEE
PrintHue Red 032	#EF3340
PrintHue Mimosa	#F0C05A
Green Yellow	#F0E68C
PrintHue Cool Gray 1	#F4F4F4
Magenta	#F653A6
Violet Red	#F7468A
PrintHue Tangerine	#F79100
PrintHue Rose Quartz	#F7CAC9
PrintHue Warm Gray 1	#F7F4F0
PrintHue Warm Red	#F9423A
PrintHue Tiger	#F96714
Banana Yellow	#FAE7B5
Lavender	#FBAED2
Apricot	#FBD5AB
Yellow	#FBE870
Pink Flamingo	#FC74FD
Goldenrod	#FCD975
Scarlet	#FD0E35
Sunset Orange	#FE4C40
PrintHue Orange 021	#FE5000
Bittersweet	#FE6F5E
Melon	#FEBAAD
Dandelion	#FED85D
PrintHue Yellow	#FEDD00
red	#FF0000
sorx red	#FF005F
hot pink	#FF0087
bright pink	#FF00AF
bright magenta	#FF00D7
magenta	#FF00FF
Orange Red	#FF5349
molten core	#FF5F00
pompelmo	#FF5F5F
warm pink	#FF5F87
pink katydid	#FF5FAF
rose pink	#FF5FD7
violet pink	#FF5FFF
Red Orange	#FF681F
PrintHue Living Coral	#FF6F61
Burnt Orange	#FF7F49
sun crete	#FF8700
pink fire	#FF875F
coral trails	#FF8787
pinky	#FF87AF
pout pink	#FF87D7
bubble gum	#FF87FF
Orange	#FF8833
Salmon	#FF91A4
Atomic Tangerine	#FF9966
Vivid Tangerine	#FF9980
Carnation Pink	#FFA6C9
Yellow Orange	#FFAE42
clementine jelly	#FFAF00
rajah	#FFAF5F
coral dusk	#FFAF87
peach bud	#FFAFAF
fresh gum	#FFAFD7
jigglypuff	#FFAFFF
Macaroni and Cheese	#FFBD88
Peach	#FFCBA4
gold	#FFD700
aspen gold	#FFD75F
workout routine	#FFD787
satin latour	#FFD7AF
satin ribbon	#FFD7D7
sugarpills	#FFD7FF
yellow	#FFFF00
canary	#FFFF5F
butter	#FFFF87
bollywood gold	#FFFFAF
lit	#FFFFD7
white	#FFFFFF
